iter	Passed	Remaining
801	1357	335
802	1358	333
803	1359	331
804	1361	329
805	1362	327
806	1363	326
807	1364	324
808	1366	322
809	1367	320
810	1368	318
811	1370	317
812	1371	315
813	1372	313
814	1373	311
815	1375	310
816	1376	308
817	1377	306
818	1378	304
819	1380	302
820	1381	301
821	1382	299
822	1383	297
823	1385	295
824	1386	294
825	1387	292
826	1389	290
827	1390	288
828	1391	287
829	1393	285
830	1394	283
831	1395	281
832	1397	280
833	1398	278
834	1399	276
835	1401	274
836	1402	273
837	1403	271
838	1404	269
839	1405	267
840	1407	266
841	1408	264
842	1409	262
843	1411	260
844	1412	259
845	1413	257
846	1414	255
847	1416	253
848	1417	252
849	1418	250
850	1420	248
851	1421	246
852	1422	245
853	1424	243
854	1425	241
855	1427	240
856	1428	238
857	1429	236
858	1431	234
859	1432	233
860	1433	231
861	1435	229
862	1436	228
863	1437	226
864	1438	224
865	1440	222
866	1441	221
867	1442	219
868	1444	217
869	1445	216
870	1447	214
871	1448	212
872	1449	210
873	1451	209
874	1452	207
875	1453	205
876	1454	204
877	1456	202
878	1457	200
879	1459	198
880	1460	197
881	1461	195
882	1463	193
883	1464	192
884	1465	190
885	1467	188
886	1468	187
887	1469	185
888	1470	183
889	1472	181
890	1473	180
891	1474	178
892	1476	176
893	1477	175
894	1478	173
895	1480	171
896	1481	170
897	1482	168
898	1484	166
899	1485	165
900	1486	163
901	1488	161
902	1489	160
903	1490	158
904	1492	156
905	1493	154
906	1494	153
907	1496	151
908	1497	149
909	1498	148
910	1499	146
911	1501	144
912	1502	143
913	1503	141
914	1504	139
915	1506	138
916	1507	136
917	1509	134
918	1510	133
919	1511	131
920	1513	129
921	1514	128
922	1515	126
923	1517	124
924	1518	123
925	1519	121
926	1520	119
927	1522	118
928	1523	116
929	1524	114
930	1526	113
931	1527	111
932	1528	109
933	1529	108
934	1531	106
935	1532	104
936	1533	103
937	1535	101
938	1536	99
939	1537	98
940	1538	96
941	1540	94
942	1541	93
943	1542	91
944	1543	89
945	1545	88
946	1546	86
947	1547	84
948	1548	83
949	1550	81
950	1551	79
951	1552	78
952	1553	76
953	1555	74
954	1556	73
955	1557	71
956	1559	70
957	1560	68
958	1561	66
959	1563	65
960	1564	63
961	1565	61
962	1566	60
963	1567	58
964	1569	56
965	1570	55
966	1571	53
967	1572	51
968	1574	50
969	1575	48
970	1576	47
971	1577	45
972	1579	43
973	1580	42
974	1581	40
975	1582	38
976	1584	37
977	1585	35
978	1586	34
979	1587	32
980	1589	30
981	1590	29
982	1591	27
983	1593	25
984	1594	24
985	1595	22
986	1596	21
987	1598	19
988	1599	17
989	1600	16
990	1601	14
991	1602	12
992	1604	11
993	1605	9
994	1606	8
995	1607	6
996	1609	4
997	1610	3
998	1611	1
999	1612	0
